idx,Name,mean_price_2Bedroom,min_t_2Bedroom,t_range_2Bedroom,intercept_2Bedroom,price_trend_2Bedroom,intercept_err_2Bedroom,price_trend_err_2Bedroom,rsquared_2Bedroom,std_err_2Bedroom,nobs_2Bedroom
200,West Park,2110.744,1367.914,1155.831,1702.782,0.210,29.451,0.015,0.842,31.040,39.000
201,Northwood,2043.333,1550.414,973.331,2309.870,-0.131,139.268,0.068,0.108,109.147,33.000
202,Potomac West,2200.944,1185.415,1338.330,2622.748,-0.227,163.324,0.086,0.140,223.116,45.000
203,Brooklyn Heights,3984.783,729.166,1794.579,3149.362,0.514,92.728,0.054,0.607,217.587,60.000
204,Waikiki,2998.859,1580.830,942.915,2513.572,0.236,272.710,0.132,0.097,202.513,32.000
205,Northampton,964.154,2158.746,364.999,1235.673,-0.116,234.737,0.100,0.109,37.800,13.000
206,Seminary Hill,1710.571,2128.329,395.416,1655.276,0.024,330.042,0.142,0.002,60.184,14.000
207,Back Bay,3899.681,789.999,1733.746,3831.027,0.041,61.909,0.036,0.023,136.096,58.000
208,Near North,2681.000,789.999,1733.746,2244.748,0.263,58.242,0.034,0.523,128.035,58.000
209,Columbus Circle,4809.152,1854.580,669.165,5213.891,-0.185,144.241,0.066,0.274,60.663,23.000
210,Braeswood Place,1716.537,1337.498,1186.247,1603.493,0.059,78.382,0.040,0.054,86.455,40.000
211,Uptown,1467.788,546.666,1977.079,1320.516,0.096,13.429,0.008,0.682,37.936,66.000
212,Sutton Place,4689.239,1854.580,669.165,6290.666,-0.732,388.942,0.177,0.449,163.575,23.000
213,Greenway - Upper Kirby Area,1976.095,1276.664,1247.081,1815.679,0.084,71.786,0.037,0.115,86.475,42.000
214,Lower Peters Canyon,2168.125,1580.830,942.915,1586.087,0.284,76.391,0.037,0.663,56.728,32.000
215,West Central,2485.062,2067.496,456.249,326.324,0.940,464.072,0.202,0.608,105.860,16.000
216,North San Jose,2993.955,1550.414,973.331,1741.139,0.615,139.777,0.068,0.726,109.546,33.000
217,Wingate,2170.214,2128.329,395.416,1523.138,0.278,654.059,0.281,0.076,119.268,14.000
218,Greenbrier West,1200.509,911.665,1612.080,1129.006,0.042,19.399,0.011,0.219,37.216,54.000
219,Bucktown,1909.769,577.083,1946.662,1807.356,0.066,33.960,0.021,0.141,93.108,65.000
220,Gowanus,3019.606,972.498,1551.247,2125.212,0.512,100.898,0.056,0.627,180.267,52.000
221,Streeterville,2818.772,485.833,2037.912,2180.036,0.424,37.608,0.023,0.835,112.673,68.000
222,Prospect Heights,2828.667,729.166,1794.579,2102.687,0.446,80.785,0.047,0.606,189.563,60.000
223,South of Market,4499.240,972.498,1551.247,3210.641,0.737,85.332,0.047,0.830,152.455,52.000
224,Downtown,2389.613,942.082,1581.663,2118.424,0.156,38.724,0.022,0.508,71.712,53.000
225,Turtle Bay,3835.273,607.499,1916.246,2766.335,0.683,90.084,0.054,0.719,239.604,64.000
