,Name,County,Metro,mean_price_1Bedroom,min_t_1Bedroom,t_range_1Bedroom,intercept_1Bedroom,price_trend_1Bedroom,intercept_err_1Bedroom,price_trend_err_1Bedroom,rsquared_1Bedroom,std_err_1Bedroom,nobs_1Bedroom
86,Morningside Heights,New York,New York,2861.812,2521.913,456.249,3517.834,-0.239,748.572,0.272,0.052,142.622,16.000
87,Kew Gardens Hills,Queens,New York,1587.403,2065.664,912.498,1357.622,0.091,129.702,0.051,0.099,74.913,31.000
88,East Boston,Suffolk,Boston,1503.578,1457.332,1520.830,1049.559,0.205,51.429,0.023,0.623,71.240,51.000
89,Coral Way,Miami-Dade,Miami-Fort Lauderdale,1562.364,1001.083,1977.079,1018.196,0.274,22.378,0.011,0.909,50.059,66.000
90,Ocean Hill,Kings,New York,1464.826,2308.996,669.165,576.722,0.336,140.610,0.053,0.656,49.035,23.000
91,Mid Wilshire,Los Angeles,Los Angeles-Long Beach-Anaheim,1853.570,1274.832,1703.330,1391.830,0.217,88.498,0.041,0.343,150.340,57.000
92,Parkchester,Bronx,New York,1146.585,1213.999,1764.163,793.287,0.169,19.294,0.009,0.862,34.946,59.000
93,Ocean Parkway,Kings,New York,1402.551,1518.165,1459.997,930.285,0.210,23.155,0.010,0.902,29.833,49.000
94,South Shore,Cook,Chicago,674.914,1061.916,1916.246,613.128,0.031,16.955,0.008,0.188,35.776,64.000
95,Jamaica Plain,Suffolk,Boston,1702.151,1700.664,1277.497,1410.768,0.125,86.011,0.036,0.223,87.727,43.000
96,Inwood,New York,New York,1362.646,1031.499,1946.662,1119.079,0.121,14.984,0.007,0.819,32.561,65.000
97,Norwood,Bronx,New York,1195.943,1396.498,1581.663,715.527,0.220,22.107,0.010,0.906,32.848,53.000
98,North,Tarrant,Dallas-Fort Worth,754.429,2582.746,395.416,-178.982,0.336,104.567,0.038,0.869,15.958,14.000
99,Brighton,Suffolk,Boston,1562.062,1031.499,1946.662,1184.997,0.188,11.681,0.006,0.947,25.383,65.000
100,Dyker Heights,Kings,New York,1303.851,1578.998,1399.164,813.139,0.215,27.220,0.012,0.882,32.534,47.000
101,Morris Park,Bronx,New York,1295.781,1548.581,1429.580,878.090,0.185,27.319,0.012,0.840,33.912,48.000
102,North Park,San Diego,San Diego,1087.076,1213.999,1764.163,515.959,0.272,20.933,0.010,0.933,37.914,59.000
103,North Dallas,Dallas,Dallas-Fort Worth,1296.094,2521.913,456.249,-956.305,0.819,364.203,0.132,0.733,69.390,16.000
104,Lake View East,Cook,Chicago,1227.764,879.416,2098.745,942.897,0.148,10.153,0.005,0.927,25.417,70.000
105,South Loop,Cook,Chicago,1742.877,909.833,2068.329,1473.422,0.139,19.911,0.010,0.750,48.489,69.000
106,South Boston,Suffolk,Boston,2450.330,1487.748,1490.413,2182.251,0.120,99.415,0.044,0.136,132.851,50.000
