,latest_sqft,latest_zhvi,mean_price,mean_price_err,mean_stars,mean_stars_err,n,z_hood,loop_i,state,county,city,neighborhood,lon,lat,lon_width,lat_width,bbox_area
91,,,2.0,0.0,3.25,0.53033008589,2,271184,5161.0,PA,Allegheny,Pittsburgh,Herrs Island,-79.9770586,40.4652595,0.009063,0.0100519,0.302936959333
92,31.0,49200.0,,,3.25,0.53033008589,2,271185,5141.0,PA,Allegheny,Pittsburgh,Homewood North,-79.8893957,40.4598694,0.0234776,0.0096321,0.758489775871
93,33.0,,2.0,0.0,4.0,0.0,2,271186,5237.0,PA,Allegheny,Pittsburgh,Homewood South,-79.8947248,40.4527206,0.021265,0.01157,0.824797253843
94,,,1.5,0.353553390593,4.07142857143,0.235358420299,7,271187,5163.0,PA,Allegheny,Pittsburgh,Homewood West,-79.9043198,40.4595795,0.0105782,0.009388,0.332602139388
95,76.0,111800.0,1.875,0.080525617042,4.06481481481,0.0989019760867,54,271192,5198.0,PA,Allegheny,Pittsburgh,Lower Lawrenceville,-79.962965,40.4661801,0.0201378,0.0119615,0.802109740983
96,53.0,72700.0,1.5,0.353553390593,4.0,0.316227766017,5,271194,5190.0,PA,Allegheny,Pittsburgh,Middle Hill,-79.97336,40.4481198,0.0181579,0.0101579,0.613564562357
97,,,2.18518518519,0.117554377425,3.55,0.129663024799,40,271199,5228.0,PA,Allegheny,Pittsburgh,North Shore,-80.0050519,40.4491025,0.0264724,0.009468,0.831153850694
98,57.0,87500.0,1.5,0.353553390593,3.625,0.480071609242,4,271206,5111.0,PA,Allegheny,Pittsburgh,Perry North,-80.0177566,40.4865055,0.0206239,0.0235596,1.60924353053
99,38.0,61700.0,1.0,0.0,4.4,0.219089023002,5,271207,5175.0,PA,Allegheny,Pittsburgh,Perry South,-80.0139961,40.4682766,0.0236549,0.0178117,1.39595518251
100,,,1.33333333333,0.272165526976,4.22222222222,0.194223860772,9,271208,5185.0,PA,Allegheny,Pittsburgh,Point Breeze North,-79.9022436,40.4515629,0.0202579,0.0102158,0.693258760434
101,,,1.25,0.153093108924,4.22727272727,0.162160470003,11,271209,5226.0,PA,Allegheny,Pittsburgh,Polish Hill,-79.9653638,40.4570824,0.019633,0.0083779,0.547589636493
102,,,1.8,0.1788854382,3.92857142857,0.235358420299,7,271211,5221.0,PA,Allegheny,Pittsburgh,Regent Square,-79.8968572,40.4331287,0.0094106,0.0133293,0.420419076888
103,,,2.11764705882,0.108183378553,3.33333333333,0.114395890455,45,271216,5118.0,PA,Allegheny,Pittsburgh,South Shore,-80.0130377,40.4371722,0.0307064,0.0158828,1.61600319461
104,131.0,211600.0,1.78225806452,0.0456628854444,3.69155844156,0.0477943750334,308,271217,5135.0,PA,Allegheny,Pittsburgh,Southside Flats,-79.9767452,40.4218815,0.0444611,0.0218369,3.22861859467
105,72.0,95600.0,2.25,0.414578098794,3.92857142857,0.157420904291,7,271218,5159.0,PA,Allegheny,Pittsburgh,Southside Slopes,-79.9804183,40.4235018,0.0378324,0.0128018,1.60998911353
106,210.0,542000.0,1.83333333333,0.159571184626,3.77551020408,0.119052577196,49,271219,5235.0,PA,Allegheny,Pittsburgh,Squirrel Hill North,-79.9303617,40.4452209,0.0378628,0.0153389,1.9401576157
107,162.0,286800.0,1.67625899281,0.0549932380654,3.69889502762,0.0616064906982,181,271220,5098.0,PA,Allegheny,Pittsburgh,Squirrel Hill South,-79.9243692,40.4265476,0.0519918,0.0298433,5.18641733694
108,59.0,81400.0,2.0,0.0,4.16666666667,0.490653381463,3,271226,5208.0,PA,Allegheny,Pittsburgh,Upper Hill,-79.9600477,40.4535179,0.0119189,0.0103798,0.412084426297
109,56.0,73700.0,1.75757575758,0.12144147264,4.11904761905,0.10622560252,42,271227,5204.0,PA,Allegheny,Pittsburgh,Upper Lawrenceville,-79.9486703,40.4837736,0.0228137,0.0129307,0.983706678776
110,58.0,81900.0,2.0,0.0,3.33333333333,0.360041149912,3,271231,5220.0,PA,Allegheny,Pittsburgh,West Oakland,-79.9675684,40.4405613,0.0202847,0.008194,0.553227147189
