chain star zhvi_p cst_p zhvi_c cst_c w_avg n_rev n_rev_star 
Wendy's 5 0.530545140209 0.00844359461287 -1.35228727232e-07 0.155736796523 0.122844827586 603 69 
BurgerKing 1 0.189514896607 5.49384106376e-09 -3.11733410967e-07 0.447014826498 0.376404494382 423 159 
BurgerKing 2 0.0177593929865 0.00677911051279 3.50859988495e-07 0.103111427027 0.182584269663 423 89 
BurgerKing 3 0.654382022434 7.26870552318e-06 -6.94337145946e-08 0.203929588166 0.188202247191 423 74 
BurgerKing 4 0.610861297453 0.000122103936821 -9.0180109137e-08 0.191774894602 0.171348314607 423 68 
BurgerKing 5 0.301688611525 0.0719762986441 1.20487246203e-07 0.0541692637056 0.0814606741573 423 33 
BankofAmerica 1 0.552576488699 0.00010632789823 -2.53119730029e-07 0.525281853152 0.457746478873 334 161 
BankofAmerica 2 0.863919903525 0.023606867717 3.47518439326e-08 0.135093989179 0.144366197183 334 45 
BankofAmerica 3 0.573667431169 0.237238235271 1.5042594673e-07 0.0901462466792 0.130281690141 334 41 
BankofAmerica 4 0.908934964613 0.0413615788841 -2.77774525535e-08 0.14473530055 0.137323943662 334 44 
BankofAmerica 5 0.654880285903 0.0903512931403 9.57193919195e-08 0.10474261044 0.130281690141 334 43 
WellsFargoBank 1 0.613384408284 0.00987546139144 1.61664003606e-07 0.248462965965 0.292134831461 318 94 
WellsFargoBank 2 0.15878088291 0.00509460505933 -3.10580079314e-07 0.185023605074 0.101123595506 318 28 
WellsFargoBank 3 0.165539888452 0.0102024902549 -3.08158335236e-07 0.169388122446 0.0861423220974 318 29 
WellsFargoBank 4 0.686258090524 0.0194221058302 1.14493912168e-07 0.197535068348 0.228464419476 318 74 
WellsFargoBank 5 0.314811188707 0.0452791814964 3.42580498776e-07 0.199590238167 0.292134831461 318 93 
CircleK 1 0.12122254317 0.0046044931502 -6.80617612211e-07 0.376637373068 0.2 243 51 
CircleK 2 0.353630636129 0.0120991094975 -2.58560707515e-07 0.210692744356 0.14358974359 243 39 
CircleK 3 0.859956999391 0.0432298617312 6.0762772813e-08 0.204743354108 0.220512820513 243 51 
CircleK 4 0.85373425434 0.0357112534904 6.78509987735e-08 0.228544806998 0.246153846154 243 57 
CircleK 5 0.0152418212589 0.804919267035 8.1056454814e-07 -0.020618278531 0.189743589744 243 45 
GreatClips 1 0.77717532332 0.00930733607244 -7.77973050374e-08 0.200136202934 0.180505415162 351 65 
GreatClips 2 0.573443414071 0.136868212564 -1.51527909845e-07 0.106827472705 0.0685920577617 351 26 
GreatClips 3 0.432661899372 0.0405960728039 -2.45546632668e-07 0.173872750872 0.111913357401 351 39 
GreatClips 4 0.145716729938 0.0647099047624 5.26962394712e-07 0.177499580372 0.310469314079 351 108 
GreatClips 5 0.897666855418 0.00316012222019 -5.20905471614e-08 0.341663993117 0.328519855596 351 113 
Domino'sPizza 1 0.834539819029 0.00980055715936 7.99735165581e-08 0.27639098942 0.296610169492 434 132 
Domino'sPizza 2 0.236539045437 0.0126842266894 -2.24255896145e-07 0.130143476206 0.0734463276836 434 36 
Domino'sPizza 3 0.827661670562 0.0993339134948 5.14940727727e-08 0.105625158853 0.118644067797 434 48 
Domino'sPizza 4 0.415438580207 0.0019950827922 -2.66232987592e-07 0.2876489245 0.220338983051 434 94 
Domino'sPizza 5 0.150828992217 0.00404870631109 3.59021294406e-07 0.200191451021 0.290960451977 434 124 
Dunkin'Donuts 1 0.754317510386 0.000180258467936 -5.34313467161e-08 0.217056644127 0.201958384333 1017 235 
Dunkin'Donuts 2 0.2621509345 0.00492751906237 1.41161316086e-07 0.113110389246 0.15299877601 1017 151 
Dunkin'Donuts 3 0.547311923085 4.63219039124e-05 -9.20442496649e-08 0.21572770866 0.189718482252 1017 174 
Dunkin'Donuts 4 0.552121566503 7.96390142643e-07 -8.40918266149e-08 0.258768205746 0.235006119951 1017 234 
Dunkin'Donuts 5 0.563601050573 0.0001685551086 8.84061069104e-08 0.195337052222 0.220318237454 1017 223 
PandaExpress 1 0.262540966864 0.0415989282289 2.73215518797e-07 0.131305148561 0.198598130841 564 125 
